schedule	Period	Subject	Rank
schedule	36	3	1
schedule	36	4	6
schedule	36	5	3
schedule	36	6	5
schedule	37	1	4
schedule	37	2	3
schedule	37	3	5
schedule	37	4	6
schedule	37	5	2
schedule	37	6	1
schedule	38	1	1
schedule	38	2	2
schedule	38	3	3
schedule	38	4	4
schedule	38	5	5
schedule	38	6	6
schedule	39	1	4
schedule	39	2	5
schedule	39	3	1
schedule	39	4	6
schedule	39	5	3
schedule	39	6	2
schedule	40	1	1
schedule	40	2	4
schedule	40	3	5
schedule	40	4	2
schedule	40	5	3
schedule	40	6	6
schedule	41	1	1
schedule	41	2	2
schedule	41	3	6
schedule	41	4	4
schedule	41	5	5
schedule	41	6	3
schedule	42	1	4
schedule	42	2	6
schedule	42	3	5
schedule	42	4	3
schedule	42	5	2
schedule	42	6	1
schedule	43	1	1
schedule	43	2	6
schedule	43	3	3
schedule	43	4	5
schedule	43	5	4
schedule	43	6	2
schedule	44	1	1
schedule	44	2	4
schedule	44	3	5
schedule	44	4	2
schedule	44	5	3
schedule	44	6	6
schedule	45	1	1
schedule	45	2	3
schedule	45	3	6
schedule	45	4	5
schedule	45	5	4
schedule	45	6	2
schedule	46	1	1
schedule	46	2	5
schedule	46	3	3
schedule	46	4	4
schedule	46	5	2
schedule	46	6	6
schedule	47	1	1
schedule	47	2	3
schedule	47	3	5
schedule	47	4	6
schedule	47	5	2
schedule	47	6	4
schedule	48	1	4
schedule	48	2	5
schedule	48	3	3
schedule	48	4	1
schedule	48	5	2
schedule	48	6	6
schedule	49	1	1
schedule	49	2	3
schedule	49	3	6
schedule	49	4	2
schedule	49	5	4
schedule	49	6	5
schedule	50	1	4
schedule	50	2	1
schedule	50	3	2
schedule	50	4	5
schedule	50	5	6
schedule	50	6	3
schedule	51	1	4
schedule	51	2	3
schedule	51	3	6
schedule	51	4	2
schedule	51	5	1
schedule	51	6	5
schedule	52	1	4
schedule	52	2	2
schedule	52	3	1
schedule	52	4	6
schedule	52	5	3
schedule	52	6	5
schedule	53	1	1
schedule	53	2	5
schedule	53	3	6
schedule	53	4	4
schedule	53	5	2
schedule	53	6	3
schedule	54	1	1
schedule	54	2	4
schedule	54	3	5
schedule	54	4	2
schedule	54	5	6
schedule	54	6	3
schedule	55	1	1
schedule	55	2	6
schedule	55	3	3
schedule	55	4	2
schedule	55	5	4
schedule	55	6	5
schedule	56	1	4
schedule	56	2	1
schedule	56	3	5
schedule	56	4	2
schedule	56	5	3
schedule	56	6	6
schedule	57	1	1
schedule	57	2	6
schedule	57	3	3
schedule	57	4	2
schedule	57	5	4
schedule	57	6	5
schedule	58	1	1
schedule	58	2	6
schedule	58	3	2
schedule	58	4	3
schedule	58	5	5
schedule	58	6	4
schedule	59	1	4
schedule	59	2	5
schedule	59	3	1
schedule	59	4	3
schedule	59	5	6
schedule	59	6	2
schedule	60	1	4
schedule	60	2	3
schedule	60	3	5
schedule	60	4	6
schedule	60	5	2
schedule	60	6	1
schedule	61	1	1
schedule	61	2	2
schedule	61	3	6
schedule	61	4	4
schedule	61	5	5
schedule	61	6	3
schedule	62	1	1
schedule	62	2	4
schedule	62	3	2
schedule	62	4	5
schedule	62	5	6
schedule	62	6	3
schedule	63	1	1
schedule	63	2	5
schedule	63	3	4
schedule	63	4	3
schedule	63	5	6
schedule	63	6	2
schedule	64	1	1
schedule	64	2	3
schedule	64	3	2
schedule	64	4	6
schedule	64	5	5
schedule	64	6	4
schedule	65	1	1
schedule	65	2	5
schedule	65	3	3
schedule	65	4	4
schedule	65	5	2
schedule	65	6	6
schedule	66	1	4
schedule	66	2	5
schedule	66	3	1
schedule	66	4	3
schedule	66	5	6
schedule	66	6	2
schedule	67	1	1
schedule	67	2	6
schedule	67	3	3
schedule	67	4	2
schedule	67	5	4
schedule	67	6	5
schedule	68	1	1
schedule	68	2	6
schedule	68	3	3
schedule	68	4	2
schedule	68	5	4
schedule	68	6	5
schedule	69	1	4
schedule	69	2	3
schedule	69	3	5
schedule	69	4	6
schedule	69	5	2
schedule	69	6	1
schedule	70	1	1
schedule	70	2	3
schedule	70	3	2
schedule	70	4	6
schedule	70	5	5
schedule	70	6	4
schedule	71	1	1
schedule	71	2	2
schedule	71	3	6
schedule	71	4	4
schedule	71	5	5
schedule	71	6	3
schedule	72	1	1
schedule	72	2	4
schedule	72	3	5
schedule	72	4	2
schedule	72	5	3
schedule	72	6	6
schedule	73	1	4
schedule	73	2	1
schedule	73	3	2
schedule	73	4	5
schedule	73	5	3
schedule	73	6	6
schedule	74	1	4
schedule	74	2	2
schedule	74	3	1
schedule	74	4	6
schedule	74	5	3
schedule	74	6	5
schedule	75	1	4
schedule	75	2	5
schedule	75	3	6
schedule	75	4	1
schedule	75	5	2
schedule	75	6	3
schedule	76	1	1
schedule	76	2	4
schedule	76	3	5
schedule	76	4	2
schedule	76	5	6
schedule	76	6	3
schedule	77	1	4
schedule	77	2	3
schedule	77	3	2
schedule	77	4	6
schedule	77	5	5
schedule	77	6	1
schedule	78	1	4
schedule	78	2	2
schedule	78	3	3
schedule	78	4	1
schedule	78	5	5
schedule	78	6	6
schedule	79	1	4
schedule	79	2	1
schedule	79	3	5
schedule	79	4	2
schedule	79	5	3
schedule	79	6	6
schedule	80	1	4
schedule	80	2	5
schedule	80	3	3
schedule	80	4	1
schedule	80	5	2
schedule	80	6	6
schedule	81	1	1
schedule	81	2	2
schedule	81	3	4
schedule	81	4	3
schedule	81	5	6
schedule	81	6	5
schedule	82	1	4
schedule	82	2	2
schedule	82	3	3
schedule	82	4	1
schedule	82	5	5
schedule	82	6	6
schedule	83	1	4
schedule	83	2	1
schedule	83	3	2
schedule	83	4	5
schedule	83	5	3
schedule	83	6	6
schedule	84	1	4
schedule	84	2	6
schedule	84	3	3
schedule	84	4	5
schedule	84	5	1
schedule	84	6	2
schedule	85	1	1
schedule	85	2	5
schedule	85	3	4
schedule	85	4	3
schedule	85	5	6
schedule	85	6	2
schedule	86	1	4
schedule	86	2	5
schedule	86	3	1
schedule	86	4	3
schedule	86	5	6
schedule	86	6	2
schedule	87	1	4
schedule	87	2	5
schedule	87	3	1
schedule	87	4	6
schedule	87	5	3
schedule	87	6	2
schedule	88	1	1
schedule	88	2	3
schedule	88	3	2
schedule	88	4	6
schedule	88	5	5
schedule	88	6	4
schedule	89	1	4
schedule	89	2	6
schedule	89	3	2
schedule	89	4	3
schedule	89	5	5
schedule	89	6	1
schedule	90	1	4
schedule	90	2	2
schedule	90	3	1
schedule	90	4	3
schedule	90	5	6
schedule	90	6	5
schedule	91	1	4
schedule	91	2	6
schedule	91	3	3
schedule	91	4	5
schedule	91	5	1
schedule	91	6	2
schedule	92	1	4
schedule	92	2	6
schedule	92	3	3
schedule	92	4	2
schedule	92	5	1
schedule	92	6	5
schedule	93	1	1
schedule	93	2	3
schedule	93	3	2
schedule	93	4	6
schedule	93	5	5
schedule	93	6	4
schedule	94	1	4
schedule	94	2	2
schedule	94	3	6
schedule	94	4	1
schedule	94	5	5
schedule	94	6	3
schedule	95	1	1
schedule	95	2	6
schedule	95	3	5
schedule	95	4	3
schedule	95	5	2
schedule	95	6	4
schedule	96	1	4
schedule	96	2	1
schedule	96	3	5
schedule	96	4	2
schedule	96	5	3
schedule	96	6	6
schedule	97	1	1
schedule	97	2	3
schedule	97	3	6
schedule	97	4	2
schedule	97	5	4
schedule	97	6	5
schedule	98	1	4
schedule	98	2	6
schedule	98	3	3
schedule	98	4	5
schedule	98	5	1
schedule	98	6	2
schedule	99	1	4
schedule	99	2	1
schedule	99	3	5
schedule	99	4	2
schedule	99	5	6
schedule	99	6	3
schedule	100	1	4
schedule	100	2	2
schedule	100	3	3
schedule	100	4	1
schedule	100	5	5
schedule	100	6	6
